Nom scientifique,Nom recherche,Fichier,Auteur,Licence,Source
Allium sativum,Allium sativum,images_ok/allium_sativum.jpg,Franco Folini,by-sa,https://www.flickr.com/photos/78425154@N00/11301560876
Aloe vera,Aloe vera,images_ok/aloe_vera.jpg,WILLPOWER STUDIOS,by,https://www.flickr.com/photos/99717632@N00/6832551818
Arctium lappa,Arctium lappa,images_ok/arctium_lappa.jpg,Swallowtail Garden Seeds,pdm,https://www.flickr.com/photos/97123293@N07/15073562509
Calendula officinalis,Calendula officinalis,images_ok/calendula_officinalis.jpg,bernhard.friess,by-nd,https://www.flickr.com/photos/77031060@N08/15533700490
Capsicum annuum,Capsicum annuum,images_ok/capsicum_annuum.jpg,GorissM,by-sa,https://www.flickr.com/photos/71963413@N06/6499363261
Chamaemelum nobile,Chamaemelum nobile,images_ok/chamaemelum_nobile.jpg,Swallowtail Garden Seeds,pdm,https://www.flickr.com/photos/97123293@N07/19517269983
Cucurbita pepo,Cucurbita pepo,images_ok/cucurbita_pepo.jpg,Franco Folini,by-sa,https://www.flickr.com/photos/78425154@N00/11347667625
Curcuma longa,Curcuma longa,images_ok/curcuma_longa.jpg,sophiea,by,https://www.flickr.com/photos/11805179@N04/3773353490
Cynara scolymus,Cynara scolymus,images_ok/cynara_scolymus.jpg,TANAKA Juuyoh (田中十洋),by,https://www.flickr.com/photos/13910409@N05/4822716133
Echinacea purpurea,Echinacea purpurea,images_ok/echinacea_purpurea.jpg,Swallowtail Garden Seeds,pdm,https://www.flickr.com/photos/97123293@N07/15894786784
Eleutherococcus senticosus,Eleutherococcus senticosus,images_ok/eleutherococcus_senticosus.jpg,Tatters ✾,by-sa,https://www.flickr.com/photos/62938898@N00/8654220985
Eschscholzia californica,Eschscholzia californica,images_ok/eschscholzia_californica.jpg,wallygrom,by-sa,https://www.flickr.com/photos/33037982@N04/6265071432
Filipendula ulmaria,Filipendula ulmaria,images_ok/filipendula_ulmaria.jpg,*pascal*,by,https://www.flickr.com/photos/62274444@N00/2638065213
Fumaria officinalis,Fumaria officinalis,images_ok/fumaria_officinalis.jpg,Swallowtail Garden Seeds,pdm,https://www.flickr.com/photos/97123293@N07/15265691162
Ginkgo biloba,Ginkgo biloba,images_ok/ginkgo_biloba.jpg,Victor Sassen,by-nd,https://www.flickr.com/photos/113524226@N05/15757530861
Hamamelis virginiana,Hamamelis virginiana,images_ok/hamamelis_virginiana.jpg,Sam Droege,pdm,https://www.flickr.com/photos/54563451@N08/33363428262
Ilex paraguariensis,Ilex paraguariensis,images_ok/ilex_paraguariensis.jpg,Dick Culbert,by,https://www.flickr.com/photos/92252798@N07/9114124408
Lavandula angustifolia,Lavandula angustifolia,images_ok/lavandula_angustifolia.jpg,blumenbiene,by,https://www.flickr.com/photos/47439717@N05/9478078399
Marrubium vulgare,Marrubium vulgare,images_ok/marrubium_vulgare.jpg,Macleay Grass Man,by,https://www.flickr.com/photos/73840284@N04/14637260464
Matricaria chamomilla,Matricaria chamomilla,images_ok/matricaria_chamomilla.jpg,blumenbiene,by,https://www.flickr.com/photos/47439717@N05/4358379653
Melaleuca alternifolia,Melaleuca alternifolia,images_ok/melaleuca_alternifolia.jpg,阿橋花譜 KHQ Flower Guide,by-sa,https://www.flickr.com/photos/52582306@N03/9227116545
Oenothera biennis,Oenothera biennis,images_ok/oenothera_biennis.jpg,Swallowtail Garden Seeds,pdm,https://www.flickr.com/photos/97123293@N07/15374506822
Panax ginseng,Panax ginseng,images_ok/panax_ginseng.jpg,阿橋花譜 KHQ Flower Guide,by-sa,https://www.flickr.com/photos/52582306@N03/9222650088
Passiflora incarnata,Passiflora incarnata,images_ok/passiflora_incarnata.jpg,Kumaravel,by,https://www.flickr.com/photos/49694447@N00/6005030705
Plantago ovata,Plantago ovata,images_ok/plantago_ovata.jpg,Joshua Tree National Park,pdm,https://www.flickr.com/photos/115357548@N08/14397998504
Potentilla erecta,Potentilla erecta,images_ok/potentilla_erecta.jpg,g e g e n l i c h t,by-sa,https://www.flickr.com/photos/129788349@N06/29992746525
Primula veris,Primula veris,images_ok/primula_veris.jpg,! / dino olivieri / www.onyrix.com,by,https://www.flickr.com/photos/88562734@N00/385850261
Ribes nigrum,Ribes nigrum,images_ok/ribes_nigrum.jpg,Swallowtail Garden Seeds,pdm,https://www.flickr.com/photos/97123293@N07/15262972931
Ruscus aculeatus,Ruscus aculeatus,images_ok/ruscus_aculeatus.jpg,katunchik,by-sa,https://www.flickr.com/photos/12090392@N02/14866227509
Salvia officinalis,Salvia officinalis,images_ok/salvia_officinalis.jpg,Irene Grassi (sun sand & sea),by-sa,https://www.flickr.com/photos/79792862@N05/7995997429
Serenoa repens,Serenoa repens,images_ok/serenoa_repens.jpg,avogel_schweiz,by-nd,https://www.flickr.com/photos/61527789@N04/5599671431
Sisymbrium officinale,Sisymbrium officinale,images_ok/sisymbrium_officinale.jpg,Swallowtail Garden Seeds,pdm,https://www.flickr.com/photos/97123293@N07/15265702502
Syzygium aromaticum,Syzygium aromaticum,images_ok/syzygium_aromaticum.jpg,D.Eickhoff,by,https://www.flickr.com/photos/50823119@N08/5288802743
Tanacetum parthenium,Tanacetum parthenium,images_ok/tanacetum_parthenium.jpg,Swallowtail Garden Seeds,by,https://www.flickr.com/photos/97123293@N07/15079380180
Taraxacum officinale,Taraxacum officinale,images_ok/taraxacum_officinale.jpg,jonycunha,by-sa,https://www.flickr.com/photos/40279385@N08/3898571244
Trigonella foenum-graecum,Trigonella foenum-graecum,images_ok/trigonella_foenum-graecum.jpg,Swallowtail Garden Seeds,by,https://www.flickr.com/photos/97123293@N07/15079380180
Urtica dioica,Urtica dioica,images_ok/urtica_dioica.jpg,brewbooks,by-sa,https://www.flickr.com/photos/93452909@N00/2544110170
Vaccinium myrtillus,Vaccinium myrtillus,images_ok/vaccinium_myrtillus.jpg,bernhard.friess,by-nd,https://www.flickr.com/photos/77031060@N08/17172561717
Vitis vinifera,Vitis vinifera,images_ok/vitis_vinifera.jpg,Franco Folini,by-sa,https://www.flickr.com/photos/78425154@N00/11347851054
Zingiber officinale,Zingiber officinale,images_ok/zingiber_officinale.jpg,blumenbiene,by,https://www.flickr.com/photos/47439717@N05/4800671531
